Date/Time,Badge Number,Reading
2022-05-09 08:00:00,W-51102932,302765.43
2022-05-09 08:00:00,W-51120490,158402.17
2022-05-09 08:00:00,W-84182231,176690.26
2022-05-09 08:00:00,W-51066465,0.01
2022-05-09 08:00:00,W-84183444,226123.45
2022-05-09 08:00:00,W-51043360,30760.85
2022-05-09 08:00:00,W-51124309,217608.23
2022-05-09 08:00:00,W-51041064,115130.1
2022-05-09 08:00:00,W-51039811,108258.66
2022-05-09 08:00:00,W-51043407,32456.36
2022-05-09 08:00:00,W-51063629,243101.61
2022-05-09 08:00:00,W-84176160,568707.61
2022-05-09 08:00:00,W-51102571,128808.65
2022-05-09 08:00:00,W-51088430,221243.22
